ptp,boards,rt,response.Q0,response.Q1
sub_001,schema_4_2,70924,"cupcake
escalator
drinking fountain
bed
basketball
plug","table
onion
steering wheel
shelf
pumpkin
no smoking sign"
sub_001,schema_4_4,111250.89999999944,"bath
flip flop
handle
card
wing mirror
curtain
chair 
salt","bus
map
tv
donut
tap
parking sign"
sub_001,schema_6_0,33793.40000000037,"sink
cucumber
bench
traffic light
beer
tomato","cow
drums
lightbulb
chair
rugby ball 
fan"
sub_001,schema_2_2,50865.699999999255,"present
pumpkin
kiwi
phone","squirrel, tyre, cloud, wasp, stairs, jeans"
sub_002,schema_2_2,132781.80000000005,"cupcake, escalator, sink, bed","table, onion slice, steering wheel, bookcase, pumpkin, no smoking sign"
sub_002,schema_4_2,66743.69999999995,"bath, flip flop, door handle, playing card, wing mirror, curtain","school bus, world map, tv, doughnut, taps, no parking sign"
sub_002,schema_4_4,83082.90000000037,"sink, cucumber, picnic table, traffic lights, pint of Guinness, baby tomatoes, atm, Christmas tree","cow, drums, lightbulb, rocking chair, rugby ball, ceiling fan"
sub_002,schema_6_0,87137.79999999981,"gift, carved pumpkin, kiwi, pay phone, rose, shovel","squirrel, bike wheel, cloud, wasp, stairs, jeans"
sub_003,schema_6_0,125654.19999998808,"cupcake, escalator, trinket box, bed, basketball, socket","table, onion, steering wheel, bookcase, pumpkin, no smoking sign"
sub_003,schema_2_2,88100.90000000596,"bath, flip flop, door handle, ace of diamonds","yellow school bus, map of the world, tv, glazed doughnut ring, tap, no parking sign"
sub_003,schema_4_2,109000,"sink, cucumber, park table, traffic, coke, plum tomatoes","cow, drum set, bulb, rocking chair, american football, ceiling fan"
sub_003,schema_4_4,349571.59999999404,"present, pumpkin, kiwi, payphone, rose, spade, dorito, flask","squirrel, bike wheel, cloud, bee, stairs, jeans"
sub_004,schema_4_2,149582,"cupcake
escalator,
sink or water fountain?
bed,
basketball,
plug sockets","round table,
onion in half
steering wheel,
bookcase,
pumpkin,
no smoking sign"
